t[s],Q[l/s],H_US_1[m],H_US_2[m],H_US_3[m],H_US_4[m],H_US_5[m],Sed_In[kg/s],Sed_Out[kg/s],v[m/s]
22026.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,266.45524327435896,0.0
22027.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,265.3676494769231,0.0
22028.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,262.1047392923077,0.0
22029.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,264.8745323512821,0.0
22030.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,265.6717281153847,0.0
22031.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,263.24765654102566,0.0
22032.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,264.13712483846155,0.0
22033.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,268.7779696128205,0.0
22034.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,260.4502160666667,0.0
22035.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.36297002307697,0.0
22036.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,263.88824085897437,0.0
22037.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,261.10003050000006,0.0
22038.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,266.7271524564103,0.0
22039.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,263.1692506461539,0.0
22040.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,265.3814302538461,0.0
22041.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,266.07268718974365,0.0
22042.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,261.7775066589744,0.0
22043.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,266.69485420769234,0.0
22044.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.6533823666667,0.0
22045.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,266.7870551897435,0.0
22046.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,269.2065617923077,0.0
22047.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,270.2757955307692,0.0
22048.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,268.81948366666677,0.0
22049.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,259.72199573846154,0.0
22050.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,264.2800127487179,0.0
22051.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,264.0126685384617,0.0
22052.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,262.91581600512814,0.0
22053.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,262.9527078461538,0.0
22054.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,263.95737370769234,0.0
22055.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,264.65326716666664,0.0
22056.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,261.55169081282054,0.0
22057.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,265.9759641666666,0.0
22058.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,261.1830156769231,0.0
22059.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,261.55624147435896,0.0
22060.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,260.63453216923074,0.0
22061.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0035393128206,0.0
22062.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,262.6946080615385,0.0
22063.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,263.48270250256417,0.0
22064.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,267.31706415641025,0.0
22065.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,266.21102443846155,0.0
22066.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,261.74062912820517,0.0
22067.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,260.4870792871794,0.0
22068.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,266.4368402846154,0.0
22069.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,263.4412170692308,0.0
22070.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,264.86069433333324,0.0
22071.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,266.0727444307692,0.0
22072.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,273.9165966564104,0.0
22073.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,265.29385148461535,0.0
22074.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,272.03166399230764,0.0
22075.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,268.7918219410256,0.0
22076.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,264.035736671795,0.0
22077.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,265.16942380512825,0.0
22078.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,263.6900581179487,0.0
22079.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,260.4963380230769,0.0
22080.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,265.4321171820512,0.0
22081.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,267.8655190435898,0.0
22082.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,262.6116371948719,0.0
22083.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,273.23916342820513,0.0
22084.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,269.9163218897436,0.0
22085.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,273.24840785384606,0.0
22086.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,274.44199772051286,0.0
22087.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,271.321946825641,0.0
22088.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,269.7089519641026,0.0
22089.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,258.71277921538456,0.0
22090.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,261.4963816717948,0.0
22091.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,262.1784657333333,0.0
22092.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,260.88338752820516,0.0
22093.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,267.57513532051274,0.0
22094.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,264.36292637435906,0.0
22095.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,263.95740232820515,0.0
22096.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.99435284615396,0.0
22097.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,268.2571907615384,0.0
22098.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,261.6853486076924,0.0
22099.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,261.0124660410257,0.0
22100.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,264.067934748718,0.0
22101.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,261.41345373589746,0.0
22102.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,266.482833448718,0.0
22103.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,260.79125809743584,0.0
22104.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,261.48250072307695,0.0
22105.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,266.21098150769234,0.0
22106.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.4459695102564,0.0
22107.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,262.18305932564107,0.0
22108.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,259.48242773589755,0.0
22109.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,260.24284614102567,0.0
22110.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,264.12325820000007,0.0
22111.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,266.2847508794872,0.0
22112.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,261.0862067923078,0.0
22113.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.3952682717949,0.0
22114.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,269.49232330256405,0.0
22115.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,267.9023679538461,0.0
22116.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,266.4229879564102,0.0
22117.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.16019368974366,0.0
22118.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,262.9987868717948,0.0
22119.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.5519655794872,0.0
22120.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,261.40880290256416,0.0
22121.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,270.0453860923077,0.0
22122.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,265.21553145128206,0.0
22123.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,265.6348792051282,0.0
22124.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,268.4277690179487,0.0
22125.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,257.8740264666667,0.0
22126.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,266.2524526307693,0.0
22127.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,259.6482979179488,0.0
22128.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,267.3308735538462,0.0
22129.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,258.3763164666667,0.0
22130.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,263.9435356897435,0.0
22131.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,266.61653417435906,0.0
22132.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,269.7458294948718,0.0
22133.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,263.27994047948727,0.0
22134.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,267.56590520512816,0.0
22135.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,264.4551130461538,0.0
22136.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,267.017493248718,0.0
22137.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,266.6856813333332,0.0
22138.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,267.94385338717956,0.0
22139.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,261.8096904256409,0.0
22140.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,262.21530033333335,0.0
22141.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,263.61173808461547,0.0
22142.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,261.30277821282044,0.0
22143.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,264.0356794307693,0.0
22144.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,266.8562166589743,0.0
